Filename,Rank,Sample,Unit,Type,Annealed,Probe #,P2O5,Na2O,SiO2,Al2O3,K2O,SO3,MnO,FeO,CaO,Cl,MgO,F ,Total,,P apfu,Na apfu,Si apfu,S apfu,Mn apfu,Fe apfu,Ca apfu,Cl apfu,Mg apfu,F apfu,est OH apfu,,O=F,O=Cl,,Corrected Total,Est OH (wt.%),Net Corrected Total
201028_P23987_AP09_01_Qti,8,QVC034,Early Porphyry,Groundmass,NA,01-Jan,42.58,0.04,0.02,0,0,0.02,1.06,0.23,53.8,0.71,0.07,2.95,101.74,,5.65,0.01,0,0,0.14,0.03,9.03,0.19,0.02,1.46,0.35,,1.24,0.16,,100.34,0.62,100.96
201028_P23987_AP10_01_Qti,8,QVC034,Early Porphyry,Groundmass,NA,01-Jan,41.98,0.05,0.03,0,0,0.04,1.02,0.5,53.73,0.79,0.08,3.05,101.51,,5.59,0.02,0,0,0.14,0.07,9.05,0.21,0.02,1.52,0.27,,1.28,0.18,,100.05,0.48,100.53
201028_P23987_AP13_01_Qti,8,QVC034,Early Porphyry,Groundmass,NA,01-Jan,42.51,0.07,0.02,0,0.01,0.02,0.97,0.27,53.79,0.88,0.08,2.78,101.62,,5.65,0.02,0,0,0.13,0.04,9.05,0.23,0.02,1.38,0.39,,1.17,0.2,,100.25,0.68,100.93
201028_P23987_AP15_01_Qti,8,QVC034,Early Porphyry,Groundmass,NA,01-Jan,42.35,0.02,0.01,-0.02,0,0,0.57,0.05,55.02,0.28,0.02,3.01,101.63,,5.63,0.01,0,0,0.08,0.01,9.26,0.07,0,1.5,0.43,,1.27,0.06,,100.3,0.76,101.06
201028_P23987_AP16_01_Qti,8,QVC034,Early Porphyry,Groundmass,NA,01-Jan,42.49,0.06,0.04,0,0,0.05,1.1,0.26,53.83,0.79,0.07,2.81,101.78,,5.64,0.02,0.01,0.01,0.15,0.03,9.05,0.21,0.02,1.39,0.4,,1.18,0.18,,100.42,0.7,101.12
201028_P23987_AP17_01_Qti,8,QVC034,Early Porphyry,Groundmass,NA,01-Jan,42.13,0.04,0.01,-0.01,0.01,0.03,0.98,0.22,54.29,0.65,0.07,2.78,101.45,,5.63,0.01,0,0,0.13,0.03,9.18,0.17,0.02,1.39,0.44,,1.17,0.15,,100.13,0.77,100.91
201028_P23987_AP18_01_Qti,8,QVC034,Early Porphyry,Groundmass,NA,01-Jan,42.24,0.09,0.05,-0.01,0,0.05,1.12,0.25,54.12,0.78,0.08,2.91,101.94,,5.61,0.03,0.01,0.01,0.15,0.03,9.09,0.21,0.02,1.44,0.35,,1.23,0.18,,100.54,0.62,101.16
201028_P23987_AP18_01_Qti,8,QVC034,Early Porphyry,Groundmass,NA,01-Feb,42.08,0.28,1.7,0.45,0.01,0.03,0.86,0.19,53.74,0.42,0.06,3.07,103.1,,5.48,0.08,0.26,0,0.11,0.02,8.85,0.11,0.01,1.49,0.4,,1.29,0.09,,101.71,0.71,102.42
201028_P23987_AP19_01_Qti,8,QVC034,Early Porphyry,Groundmass,NA,01-Jan,42.38,0.06,0.02,-0.03,0.01,0.06,1.19,0.26,53.7,0.78,0.06,2.66,101.42,,5.66,0.02,0,0.01,0.16,0.03,9.08,0.21,0.01,1.33,0.46,,1.12,0.18,,100.12,0.82,100.94
201028_P23987_AP19_01_Qti,8,QVC034,Early Porphyry,Groundmass,NA,01-Feb,42.3,0.05,0.03,-0.01,0,0.05,1,0.16,54.49,0.38,0.05,3.07,101.82,,5.61,0.02,0,0.01,0.13,0.02,9.15,0.1,0.01,1.52,0.38,,1.29,0.09,,100.44,0.67,101.11
201028_P23989_AP01_Transect_Qti,14,QVC040,Dacite Dyke,Groundmass,NA,01-Jan,42.25,0.03,0.03,-0.02,0,0.04,0.53,0.09,54.73,0.29,0.03,2.98,101.2,,5.64,0.01,0,0,0.07,0.01,9.24,0.08,0.01,1.48,0.44,,1.25,0.07,,99.88,0.77,100.65
201028_P23989_AP01_Transect_Qti,14,QVC040,Dacite Dyke,Groundmass,NA,01-Feb,42.3,0.05,0.02,0,-0.01,0.03,0.48,0.06,54.89,0.25,0.03,3.38,101.68,,5.59,0.02,0,0,0.06,0.01,9.18,0.07,0.01,1.67,0.26,,1.42,0.06,,100.2,0.47,100.67
201028_P23989_AP01_Transect_Qti,14,QVC040,Dacite Dyke,Groundmass,NA,01-Mar,42.54,0.05,0.06,-0.01,0,0.06,0.44,0.06,55.06,0.23,0.03,2.96,101.74,,5.64,0.02,0.01,0.01,0.06,0.01,9.24,0.06,0.01,1.47,0.47,,1.25,0.05,,100.44,0.83,101.27
201028_P23989_AP01_Transect_Qti,14,QVC040,Dacite Dyke,Groundmass,NA,01-Apr,42.67,0,0.02,0,0,0.02,0.39,0.04,55.2,0.21,0.01,3.02,101.8,,5.65,0,0,0,0.05,0.01,9.25,0.06,0,1.49,0.45,,1.27,0.05,,100.48,0.8,101.28
201028_P23989_AP01_Transect_Qti,14,QVC040,Dacite Dyke,Groundmass,NA,01-May,41.81,0.06,1.17,0.54,0.08,0.04,1.75,0.18,51.79,0.29,0.7,2.99,101.66,,5.53,0.02,0.18,0,0.23,0.02,8.66,0.08,0.16,1.48,0.45,,1.26,0.07,,100.34,0.79,101.13
201028_P23989_AP02_01_Qti,14,QVC040,Dacite Dyke,Groundmass,NA,01-Jan,42.35,0.05,0,-0.01,0,0.04,0.62,0.1,54.96,0.3,0.04,3.06,101.73,,5.62,0.02,0,0,0.08,0.01,9.23,0.08,0.01,1.52,0.4,,1.29,0.07,,100.37,0.71,101.09
201028_P23989_AP02_01_Qti,14,QVC040,Dacite Dyke,Groundmass,NA,01-Feb,27.1,0.26,37.83,5.72,4.38,0.03,0.41,0.09,30.27,0.12,0.04,1.42,107.93,,3.12,0.07,5.14,0,0.05,0.01,4.41,0.03,0.01,0.61,1.36,,0.6,0.03,,107.31,2.57,109.87
201028_P23989_AP03_01_Qti,14,QVC040,Dacite Dyke,Groundmass,NA,01-Jan,42.18,0.03,0.03,-0.02,0,0.13,0.63,0.09,54.58,0.37,0.05,3.11,101.47,,5.61,0.01,0,0.02,0.08,0.01,9.18,0.1,0.01,1.54,0.36,,1.31,0.08,,100.08,0.63,100.71
201028_P23989_AP03_01_Qti,14,QVC040,Dacite Dyke,Groundmass,NA,01-Feb,42.07,0.05,0.02,0,0,0.07,0.58,0.08,54.57,0.35,0.06,3.09,101.23,,5.61,0.02,0,0.01,0.08,0.01,9.21,0.09,0.01,1.54,0.37,,1.3,0.08,,99.85,0.65,100.5
201028_P23989_AP04_01_Qti,14,QVC040,Dacite Dyke,Groundmass,NA,01-Jan,41.84,0.07,0.01,-0.01,-0.01,0.04,2.8,0.13,52.26,0.52,0.15,2.68,100.97,,5.65,0.02,0,0,0.38,0.02,8.93,0.14,0.04,1.35,0.51,,1.13,0.12,,99.72,0.89,100.61
201028_P23989_AP04_01_Qti,14,QVC040,Dacite Dyke,Groundmass,NA,01-Feb,41.82,0.04,0.05,-0.01,0,0.05,3.48,0.11,51.44,0.36,0.13,2.4,100.22,,5.7,0.01,0.01,0.01,0.47,0.01,8.87,0.1,0.03,1.22,0.68,,1.01,0.08,,99.13,1.18,100.31
201028_P23989_AP05_01_Qti,14,QVC040,Dacite Dyke,Groundmass,NA,01-Jan,42.23,0.09,0.03,-0.01,0,0.04,0.58,0.07,54.61,0.27,0.03,2.87,101.14,,5.65,0.03,0,0,0.08,0.01,9.24,0.07,0.01,1.43,0.49,,1.21,0.06,,99.87,0.87,100.74
201028_P23989_AP06_01_Qti,14,QVC040,Dacite Dyke,Groundmass,NA,01-Jan,42.3,0.06,0.01,-0.02,0,0.04,0.47,0.06,55.55,0.33,0.04,2.86,101.89,,5.62,0.02,0,0,0.06,0.01,9.34,0.09,0.01,1.42,0.49,,1.2,0.07,,100.61,0.87,101.48
201028_P23989_AP09_01_Qti,14,QVC040,Dacite Dyke,Groundmass,NA,01-Jan,42.16,0.07,0.06,-0.01,0,0.05,0.54,0.07,54.54,0.39,0.02,2.64,100.84,,5.67,0.02,0.01,0.01,0.07,0.01,9.28,0.1,0,1.33,0.57,,1.11,0.09,,99.64,1,100.64
201028_P23989_AP11_01_Qti,14,QVC040,Dacite Dyke,Groundmass,NA,01-Jan,41.84,0.11,0.01,0,0,0.22,4.63,0.07,50.24,0.17,0.11,2.1,100.38,,5.75,0.03,0,0.03,0.64,0.01,8.73,0.05,0.03,1.08,0.88,,0.88,0.04,,99.46,1.51,100.97
201028_P23989_AP12_01_Qti,14,QVC040,Dacite Dyke,Groundmass,NA,01-Jan,42.49,0.1,0.02,-0.03,0.01,0.07,0.56,0.08,54.59,0.31,0.04,3.06,101.52,,5.64,0.03,0,0.01,0.07,0.01,9.17,0.08,0.01,1.52,0.4,,1.29,0.07,,100.16,0.71,100.87
201028_P23989_AP13_01_Qti,14,QVC040,Dacite Dyke,Groundmass,NA,01-Jan,42.81,0,0.04,0.01,0.01,0.04,0.56,0.09,54.96,0.39,0.06,2.93,102.05,,5.65,0,0.01,0,0.07,0.01,9.19,0.1,0.01,1.45,0.45,,1.23,0.09,,100.73,0.8,101.53
201028_P23989_AP14_01_Qti,14,QVC040,Dacite Dyke,Groundmass,NA,01-Jan,41.87,0.03,0,0,0,0.03,0.55,0.1,54.5,0.27,0.03,3.01,100.63,,5.62,0.01,0,0,0.07,0.01,9.26,0.07,0.01,1.51,0.42,,1.27,0.06,,99.3,0.74,100.04
201028_P23989_AP15_01_Qti,14,QVC040,Dacite Dyke,Groundmass,NA,01-Jan,42,0.04,0.04,0,0.01,0.04,0.54,0.12,54.53,0.34,0.03,2.94,100.88,,5.63,0.01,0.01,0,0.07,0.02,9.24,0.09,0.01,1.47,0.44,,1.24,0.08,,99.57,0.77,100.34
201028_P23989_AP16_01_Qti,14,QVC040,Dacite Dyke,Groundmass,NA,01-Jan,42.28,0.07,0.03,-0.01,0.01,0.04,0.56,0.08,54.86,0.25,0.03,2.98,101.38,,5.63,0.02,0,0,0.07,0.01,9.25,0.07,0.01,1.48,0.45,,1.25,0.06,,100.07,0.8,100.86
201028_P23989_AP17_01_Qti,14,QVC040,Dacite Dyke,Groundmass,NA,01-Jan,41.9,0.13,0.02,-0.03,0,0.33,2.58,0.04,51.87,0.11,0.1,2.39,100.23,,5.71,0.04,0,0.04,0.35,0.01,8.95,0.03,0.02,1.22,0.75,,1.01,0.02,,99.2,1.31,100.51
201028_P23989_AP17_01_Qti,14,QVC040,Dacite Dyke,Groundmass,NA,01-Feb,40.05,0.35,0.63,0.39,0.01,0.98,1.31,0.12,51.9,0.07,0.76,3.61,100.74,,5.34,0.11,0.1,0.12,0.17,0.02,8.76,0.02,0.18,1.8,0.18,,1.52,0.02,,99.2,0.33,99.53
201028_P23989_AP18_01_Qti,14,QVC040,Dacite Dyke,Groundmass,NA,01-Jan,42.19,0.1,0.04,0,0,0.13,0.58,0.14,54.47,0.41,0.05,2.88,101.21,,5.63,0.03,0.01,0.02,0.08,0.02,9.2,0.11,0.01,1.44,0.45,,1.21,0.09,,99.9,0.8,100.71
201028_P23989_AP19_01_Qti,14,QVC040,Dacite Dyke,Groundmass,NA,01-Jan,42.46,0.07,0.04,-0.03,0,0.09,0.6,0.09,54.57,0.37,0.04,2.68,101.25,,5.67,0.02,0.01,0.01,0.08,0.01,9.23,0.1,0.01,1.34,0.56,,1.13,0.08,,100.04,0.99,101.03
201028_P23989_AP20_01_Qti,14,QVC040,Dacite Dyke,Groundmass,NA,01-Jan,42.49,0.07,0,-0.01,0,0.05,0.68,0.07,54.59,0.31,0.03,2.83,101.39,,5.67,0.02,0,0.01,0.09,0.01,9.21,0.08,0.01,1.41,0.51,,1.19,0.07,,100.13,0.89,101.02
201028_P23989_AP21_01_Qti,14,QVC040,Dacite Dyke,Groundmass,NA,01-Jan,41.97,0.05,0.05,-0.02,0.01,0.03,0.51,0.08,54.72,0.25,0.02,3.33,101.32,,5.58,0.02,0.01,0,0.07,0.01,9.21,0.07,0,1.65,0.28,,1.4,0.06,,99.86,0.5,100.36
201028_P23989_AP21_01_Qti,14,QVC040,Dacite Dyke,Groundmass,NA,01-Feb,42.06,0.08,0.1,-0.01,0,0.07,0.55,0.1,54.59,0.29,0.02,2.77,100.88,,5.64,0.02,0.02,0.01,0.07,0.01,9.27,0.08,0,1.39,0.53,,1.17,0.07,,99.65,0.94,100.59
201028_P23989__AP07_01_Qti,14,QVC040,Dacite Dyke,Groundmass,NA,01-Jan,42.15,0.05,0.01,-0.01,0,0.06,0.52,0.05,54.69,0.29,0.03,2.89,100.99,,5.64,0.02,0,0.01,0.07,0.01,9.26,0.08,0.01,1.44,0.48,,1.22,0.07,,99.71,0.84,100.55
201029_P23981_AP01_01_Qti,11,QVC061,Monzodiorite,Groundmass,NA,01-Jan,42.45,0.16,0.17,0.02,0.02,0.12,0.62,0.42,53.6,0.72,0.07,2.75,101.69,,5.65,0.05,0.03,0.01,0.08,0.06,9.03,0.19,0.02,1.37,0.44,,1.16,0.16,,100.37,0.78,101.15
201029_P23981_AP01_01_Qti,11,QVC061,Monzodiorite,Groundmass,NA,01-Feb,42.08,0.11,0.15,-0.01,0,0.11,0.61,0.39,53.73,0.79,0.09,2.58,101.3,,5.65,0.03,0.02,0.01,0.08,0.05,9.12,0.21,0.02,1.29,0.49,,1.09,0.18,,100.04,0.87,100.91
201029_P23981_AP01_01_Qti,11,QVC061,Monzodiorite,Groundmass,NA,01-Mar,42.1,0.1,0.15,-0.04,0,0.13,0.56,0.38,54.01,0.86,0.09,2.49,101.32,,5.64,0.03,0.02,0.02,0.08,0.05,9.16,0.23,0.02,1.25,0.52,,1.05,0.19,,100.08,0.92,100.99
201029_P23981_AP01_01_Qti,11,QVC061,Monzodiorite,Groundmass,NA,01-Apr,42.18,0.07,0.1,-0.03,0.01,0.1,0.54,0.4,54.09,0.88,0.08,2.55,101.48,,5.65,0.02,0.02,0.01,0.07,0.05,9.16,0.24,0.02,1.27,0.49,,1.07,0.2,,100.21,0.86,101.07
201029_P23981_AP01_01_Qti,11,QVC061,Monzodiorite,Groundmass,NA,01-May,42.24,0.08,0.09,-0.01,0,0.08,0.6,0.36,53.87,0.8,0.09,2.53,101.31,,5.66,0.02,0.01,0.01,0.08,0.05,9.14,0.21,0.02,1.27,0.52,,1.07,0.18,,100.06,0.91,100.97
201029_P23981_AP01_01_Qti,11,QVC061,Monzodiorite,Groundmass,NA,01-Jun,42.24,0.07,0.14,-0.01,0,0.11,0.59,0.4,53.97,0.82,0.08,2.69,101.57,,5.64,0.02,0.02,0.01,0.08,0.05,9.11,0.22,0.02,1.34,0.44,,1.13,0.19,,100.25,0.78,101.03
201029_P23981_AP01_01_Qti,11,QVC061,Monzodiorite,Groundmass,NA,01-Jul,41.96,0.09,0.37,0.17,0.09,0.1,0.57,0.54,53.73,0.56,0.09,2.98,101.73,,5.58,0.03,0.06,0.01,0.08,0.07,9.04,0.15,0.02,1.48,0.37,,1.25,0.13,,100.35,0.66,101.01
201029_P23981_AP01_01_Qti,11,QVC061,Monzodiorite,Groundmass,NA,02-Jan,41.98,0.08,0.17,0,0,0.14,0.56,0.42,53.82,0.88,0.09,2.76,101.44,,5.61,0.02,0.03,0.02,0.07,0.06,9.1,0.24,0.02,1.38,0.39,,1.16,0.2,,100.08,0.68,100.76
201029_P23981_AP01_01_Qti,11,QVC061,Monzodiorite,Groundmass,NA,02-Feb,41.89,0.07,0.2,-0.02,0,0.11,0.51,0.4,53.89,0.87,0.11,2.7,101.23,,5.61,0.02,0.03,0.01,0.07,0.05,9.13,0.23,0.03,1.35,0.42,,1.14,0.2,,99.9,0.73,100.63
201029_P23981_AP01_STD01,11,QVC061,Monzodiorite,Groundmass,NA,01-Jan,42.05,0.11,0.23,-0.02,-0.01,0.11,0.6,0.35,53.93,0.75,0.07,2.75,101.52,,5.62,0.03,0.04,0.01,0.08,0.05,9.12,0.2,0.02,1.37,0.43,,1.16,0.17,,100.19,0.75,100.95
201029_P23981_AP01_STD02,11,QVC061,Monzodiorite,Groundmass,NA,01-Jan,42.09,0.08,0.17,-0.01,0,0.1,0.64,0.34,54.15,0.81,0.07,3.14,102.02,,5.57,0.02,0.03,0.01,0.08,0.04,9.07,0.21,0.02,1.55,0.23,,1.32,0.18,,100.52,0.41,100.93
201029_P23981_AP01_STD03,11,QVC061,Monzodiorite,Groundmass,NA,01-Jan,41.86,0.11,0.17,-0.01,-0.01,0.09,0.63,0.35,53.62,0.75,0.08,2.73,100.88,,5.62,0.03,0.03,0.01,0.08,0.05,9.12,0.2,0.02,1.37,0.43,,1.15,0.17,,99.56,0.75,100.32
201029_P23981_AP01_STD04,11,QVC061,Monzodiorite,Groundmass,NA,01-Jan,41.89,0.07,0.14,-0.01,0.01,0.11,0.63,0.36,53.71,0.85,0.06,2.68,101.07,,5.62,0.02,0.02,0.01,0.08,0.05,9.13,0.23,0.01,1.34,0.43,,1.13,0.19,,99.75,0.75,100.5
201029_P23981_AP02_01_Qti,11,QVC061,Monzodiorite,Groundmass,NA,01-Jan,42.49,0.07,0.06,-0.01,-0.01,0.07,0.6,0.34,54.21,0.58,0.08,3,101.77,,5.63,0.02,0.01,0.01,0.08,0.04,9.09,0.15,0.02,1.49,0.36,,1.26,0.13,,100.38,0.64,101.02
201029_P23981_AP02_01_Qti,11,QVC061,Monzodiorite,Groundmass,NA,01-Feb,42.41,0.07,0.14,0,0.01,0.11,0.56,0.34,54.02,0.55,0.05,3.15,101.77,,5.61,0.02,0.02,0.01,0.07,0.04,9.05,0.15,0.01,1.56,0.3,,1.33,0.12,,100.32,0.53,100.85
201029_P23981_AP03_01_Qti,11,QVC061,Monzodiorite,Groundmass,NA,01-Jan,42.04,0.07,0.21,0,0,0.11,0.68,0.4,53.85,0.79,0.08,2.68,101.41,,5.62,0.02,0.03,0.01,0.09,0.05,9.11,0.21,0.02,1.34,0.45,,1.13,0.18,,100.1,0.79,100.9
201029_P23981_AP03_01_Qti,11,QVC061,Monzodiorite,Groundmass,NA,01-Feb,42.31,0.12,0.12,0,0.06,0.13,0.68,0.49,53.81,0.63,0.09,2.92,101.77,,5.62,0.04,0.02,0.02,0.09,0.06,9.05,0.17,0.02,1.45,0.38,,1.23,0.14,,100.4,0.68,101.08
201029_P23981_AP04_01_Qti,11,QVC061,Monzodiorite,Groundmass,NA,01-Jan,42.46,0.09,0.1,-0.01,0.01,0.14,0.55,0.29,54.23,0.48,0.06,3.13,101.86,,5.61,0.03,0.02,0.02,0.07,0.04,9.07,0.13,0.01,1.55,0.33,,1.32,0.11,,100.43,0.58,101.01
201029_P23981_AP04_01_Qti,11,QVC061,Monzodiorite,Groundmass,NA,01-Feb,41.71,0.1,0.66,0.28,0.18,0.07,0.47,0.52,53.3,0.44,0.18,3.38,101.62,,5.51,0.03,0.1,0.01,0.06,0.07,8.92,0.12,0.04,1.67,0.21,,1.42,0.1,,100.1,0.38,100.48
201029_P23981_AP06_01_Qti,11,QVC061,Monzodiorite,Groundmass,NA,01-Jan,42.66,0.08,0.04,0,0.01,0.14,0.67,0.45,53.86,0.68,0.11,2.69,101.75,,5.67,0.02,0.01,0.02,0.09,0.06,9.06,0.18,0.03,1.34,0.48,,1.13,0.15,,100.46,0.85,101.32
201029_P23981_AP07_01_Qti,11,QVC061,Monzodiorite,Groundmass,NA,01-Jan,42.1,0.09,0.13,-0.02,0.01,0.1,0.62,0.39,53.8,0.71,0.08,2.88,101.32,,5.62,0.03,0.02,0.01,0.08,0.05,9.09,0.19,0.02,1.44,0.37,,1.21,0.16,,99.95,0.66,100.61
201029_P23981_AP07_01_Qti,11,QVC061,Monzodiorite,Groundmass,NA,01-Feb,42.21,0.13,0.22,-0.01,0.04,0.16,0.67,0.44,53.22,0.68,0.07,3.02,101.34,,5.62,0.04,0.03,0.02,0.09,0.06,8.96,0.18,0.02,1.5,0.32,,1.27,0.15,,99.91,0.56,100.48
201029_P23981_AP08_01_Qti,11,QVC061,Monzodiorite,Groundmass,NA,01-Jan,41.92,0.07,0.11,-0.02,0,0.12,0.62,0.4,54.2,0.66,0.1,2.85,101.4,,5.6,0.02,0.02,0.01,0.08,0.05,9.16,0.18,0.02,1.42,0.4,,1.2,0.15,,100.05,0.71,100.76
201029_P23981_AP09_01_Qti,11,QVC061,Monzodiorite,Groundmass,NA,01-Jan,42.17,0.11,0.13,-0.02,0,0.17,0.57,0.31,54.37,0.5,0.07,3.18,101.94,,5.58,0.03,0.02,0.02,0.08,0.04,9.1,0.13,0.02,1.57,0.3,,1.34,0.11,,100.49,0.53,101.01
201029_P23981_AP09_01_Qti,11,QVC061,Monzodiorite,Groundmass,NA,01-Feb,42.11,0.07,0.23,0.04,0.01,0.14,0.58,0.38,54.07,0.61,0.08,3.01,101.74,,5.59,0.02,0.04,0.02,0.08,0.05,9.08,0.16,0.02,1.49,0.35,,1.27,0.14,,100.33,0.61,100.95
201029_P23981_AP11_01_Qti,11,QVC061,Monzodiorite,Groundmass,NA,01-Jan,42.52,0.11,0.15,-0.01,0.04,0.1,0.58,0.43,53.73,0.43,0.07,3.53,102.28,,5.59,0.03,0.02,0.01,0.08,0.06,8.94,0.11,0.02,1.73,0.15,,1.49,0.1,,100.7,0.28,100.97
201029_P23981_AP11_01_Qti,11,QVC061,Monzodiorite,Groundmass,NA,01-Feb,41.91,0.06,0.15,-0.02,0.01,0.08,0.49,0.29,53.64,0.24,0.05,3.87,101.21,,5.54,0.02,0.02,0.01,0.06,0.04,8.98,0.06,0.01,1.91,0.02,,1.63,0.05,,99.53,0.04,99.57
201029_P23981_AP12_01_Qti,11,QVC061,Monzodiorite,Groundmass,NA,01-Jan,42.32,0.07,0.12,-0.01,0,0.13,0.52,0.23,54.3,0.55,0.04,3.04,101.65,,5.61,0.02,0.02,0.02,0.07,0.03,9.11,0.15,0.01,1.51,0.35,,1.28,0.12,,100.25,0.62,100.86
201029_P23981_AP14_01_Qti,11,QVC061,Monzodiorite,Groundmass,NA,01-Jan,42.64,0.04,0.08,-0.02,0,0.06,0.14,0.06,55.37,0.26,-0.01,3.62,102.39,,5.57,0.01,0.01,0.01,0.02,0.01,9.16,0.07,0,1.77,0.16,,1.52,0.06,,100.81,0.29,101.1
201029_P23981_AP15_01_Qti,11,QVC061,Monzodiorite,Groundmass,NA,01-Jan,42.14,0.08,0.13,-0.02,0,0.08,0.6,0.45,54.05,0.65,0.1,2.93,101.56,,5.61,0.02,0.02,0.01,0.08,0.06,9.11,0.17,0.02,1.46,0.37,,1.23,0.15,,100.18,0.65,100.83
201029_P23981_AP15_01_Qti,11,QVC061,Monzodiorite,Groundmass,NA,01-Feb,42.37,0.01,0.08,0,0,0.11,0.57,0.47,54.18,0.67,0.08,2.8,101.6,,5.64,0,0.01,0.01,0.08,0.06,9.12,0.18,0.02,1.39,0.43,,1.18,0.15,,100.27,0.76,101.03
201029_P23981_AP17_01_Qti,11,QVC061,Monzodiorite,Groundmass,NA,01-Jan,41.65,0.09,0.14,-0.03,0.01,0.14,0.64,0.42,53.52,0.85,0.08,2.71,100.75,,5.61,0.03,0.02,0.02,0.09,0.06,9.12,0.23,0.02,1.36,0.41,,1.14,0.19,,99.42,0.72,100.14
201029_P23981_AP18_01_Qti,11,QVC061,Monzodiorite,Groundmass,NA,01-Jan,42.1,0.06,0.15,0,0,0.23,0.65,0.45,53.74,0.85,0.11,2.56,101.14,,5.63,0.02,0.02,0.03,0.09,0.06,9.1,0.23,0.03,1.28,0.49,,1.08,0.19,,99.87,0.87,100.74
201029_P23981_AP19_01_Qti,11,QVC061,Monzodiorite,Groundmass,NA,01-Jan,42.2,0.07,0.01,-0.02,0,0.07,0.61,0.37,53.95,0.74,0.06,3.1,101.49,,5.61,0.02,0,0.01,0.08,0.05,9.07,0.2,0.01,1.54,0.26,,1.31,0.17,,100.02,0.47,100.49
201029_P23981_AP20_01_Qti,11,QVC061,Monzodiorite,Groundmass,NA,01-Jan,42.29,0.09,0.12,-0.02,0,0.16,0.63,0.47,53.73,0.82,0.1,2.53,101.25,,5.66,0.03,0.02,0.02,0.08,0.06,9.1,0.22,0.02,1.26,0.52,,1.07,0.19,,100,0.91,100.91
201029_P23981_AP21_01_Qti,11,QVC061,Monzodiorite,Groundmass,NA,01-Jan,42.42,0.05,0.11,-0.02,0,0.1,0.57,0.4,54.03,0.77,0.1,2.84,101.66,,5.63,0.02,0.02,0.01,0.08,0.05,9.08,0.2,0.02,1.41,0.39,,1.2,0.17,,100.29,0.68,100.97
201029_P23985_AP01_01_Qti,13,QVC029,Late Porphyry,Groundmass,NA,01-Jan,41.56,0.1,0.05,0.01,0,0.08,0.76,0.3,53.74,0.74,0.06,2.92,100.63,,5.59,0.03,0.01,0.01,0.1,0.04,9.14,0.2,0.01,1.47,0.33,,1.23,0.17,,99.23,0.59,99.82
201029_P23985_AP01_01_Qti,13,QVC029,Late Porphyry,Groundmass,NA,01-Feb,41.99,0.11,0.02,0,0.01,0.08,1.08,0.45,53.22,1.13,0.08,2.53,101.08,,5.64,0.03,0,0.01,0.15,0.06,9.05,0.3,0.02,1.27,0.43,,1.07,0.25,,99.76,0.75,100.51
201029_P23985_AP01_01_Qti,13,QVC029,Late Porphyry,Groundmass,NA,01-Mar,41.95,0.1,0,0,0,0.07,0.78,0.26,53.83,0.79,0.03,2.68,100.95,,5.64,0.03,0,0.01,0.1,0.03,9.16,0.21,0.01,1.35,0.44,,1.13,0.18,,99.64,0.78,100.42
201029_P23985_AP01_01_Qti,13,QVC029,Late Porphyry,Groundmass,NA,01-Apr,42.02,0.14,0.02,-0.02,0,0.09,1.16,0.47,53.07,1.14,0.08,2.41,101.06,,5.66,0.04,0,0.01,0.16,0.06,9.04,0.31,0.02,1.21,0.48,,1.01,0.26,,99.79,0.84,100.63
201029_P23985_AP01_01_Qti,13,QVC029,Late Porphyry,Groundmass,NA,01-May,42.75,0.13,0.09,0,0,0.09,0.9,0.42,53.36,0.97,0.1,2.35,101.53,,5.71,0.04,0.01,0.01,0.12,0.06,9.02,0.26,0.02,1.17,0.57,,0.99,0.22,,100.32,1,101.32
201029_P23985_AP03_01_Qti,13,QVC029,Late Porphyry,Groundmass,NA,01-Jan,42.45,0.1,0.01,-0.02,0,0.1,0.61,0.24,53.57,0.69,0.03,2.82,101.01,,5.67,0.03,0,0.01,0.08,0.03,9.06,0.18,0.01,1.41,0.41,,1.19,0.16,,99.67,0.72,100.39
201029_P23985_AP04_01_Qti,13,QVC029,Late Porphyry,Groundmass,NA,01-Jan,41.33,0.13,0.03,-0.02,0.01,0.09,0.75,0.37,53.46,0.85,0.07,2.76,100.27,,5.6,0.04,0,0.01,0.1,0.05,9.16,0.23,0.02,1.4,0.37,,1.16,0.19,,98.92,0.66,99.57
201029_P23985_AP05_01_Qti,13,QVC029,Late Porphyry,Groundmass,NA,01-Jan,41.78,0.14,0.05,-0.02,0,0.1,0.78,0.41,53.71,0.91,0.12,2.76,101.16,,5.6,0.04,0.01,0.01,0.1,0.05,9.11,0.24,0.03,1.38,0.37,,1.16,0.21,,99.79,0.66,100.45
201029_P23985_AP06_01impDat_Qti,13,QVC029,Late Porphyry,Groundmass,NA,01-Jan,40.72,0.12,0.01,-0.01,0,0.13,1,0.49,53.19,1.02,0.14,2.96,100.19,,5.52,0.04,0,0.02,0.14,0.07,9.12,0.28,0.03,1.5,0.22,,1.25,0.23,,98.71,0.4,99.11
201029_P23985_AP07_01_Qti,13,QVC029,Late Porphyry,Groundmass,NA,01-Jan,42.23,0.08,0.03,-0.01,0,0.08,0.54,0.24,54.43,0.74,0.04,2.95,101.83,,5.61,0.02,0,0.01,0.07,0.03,9.15,0.2,0.01,1.46,0.34,,1.24,0.17,,100.42,0.6,101.02
